label,structure,operation,count,mean_ns,p50_ns,p99_ns,total_seconds,final_size,final_height,rotations_left,rotations_right
scale_n10000_r3,avl,RANGE,500,11874.0,10400,39100,0.005937,1147,12,3431,3137
scale_n10000_r3,avl,ALL,21500,24982.18604651163,22400,93400,0.537117,1147,12,3431,3137
scale_n10000_r3,bst,I,6907,6629.607644418706,3900,8200,0.0457907,1147,19,0,0
scale_n10000_r3,bst,D,6072,7754.446640316206,4500,11700,0.047085,1147,19,0,0
scale_n10000_r3,bst,S,7021,4177.040307648484,3500,6800,0.029327,1147,19,0,0
scale_n10000_r3,bst,RANK,500,454710.0,379200,2096000,0.227355,1147,19,0,0
scale_n10000_r3,bst,SELECT,500,492807.8,353800,3820100,0.2464039,1147,19,0,0
scale_n10000_r3,bst,RANGE,500,431345.6,271600,3581200,0.2156728,1147,19,0,0
scale_n10000_r3,bst,ALL,21500,37750.43720930233,4000,693400,0.8116344,1147,19,0,0
scale_n100000_r1,avl,I,70269,50081.44416456759,41400,198400,3.519173,13427,16,34247,31325
scale_n100000_r1,avl,D,59885,45930.879185104786,38400,173400,2.7505707,13427,16,34247,31325
scale_n100000_r1,avl,S,69846,5846.825874065802,4400,10800,0.4083774,13427,16,34247,31325
scale_n100000_r1,avl,RANK,500,3969.4,2000,17400,0.0019847,13427,16,34247,31325
scale_n100000_r1,avl,SELECT,500,5505.6,3100,21400,0.0027528,13427,16,34247,31325
scale_n100000_r1,avl,RANGE,500,13188.0,5600,53000,0.006594,13427,16,34247,31325
scale_n100000_r1,avl,ALL,201500,33198.27593052109,27700,129400,6.6894526,13427,16,34247,31325
scale_n100000_r1,bst,I,70269,6007.85979592708,5100,13800,0.4221663,13427,26,0,0
scale_n100000_r1,bst,D,59885,7454.424313267095,6000,15800,0.4464082,13427,26,0,0
scale_n100000_r1,bst,S,69846,5873.342782693354,4400,11400,0.4102295,13427,26,0,0
scale_n100000_r1,bst,RANK,500,5055159.0,4122200,16347600,2.5275795,13427,26,0,0
scale_n100000_r1,bst,SELECT,500,4613972.6,3798900,15256200,2.3069863,13427,26,0,0
scale_n100000_r1,bst,RANGE,500,4375230.0,3227500,15776700,2.187615,13427,26,0,0
scale_n100000_r1,bst,ALL,201500,41195.95434243176,5000,51300,8.3009848,13427,26,0,0
scale_n100000_r2,avl,I,70269,50186.29267529067,42100,210400,3.5265406,13427,16,34247,31325
scale_n100000_r2,avl,D,59885,48008.89705268431,39000,186700,2.8750128,13427,16,34247,31325
scale_n100000_r2,avl,S,69846,5204.614437476735,4400,10900,0.3635215,13427,16,34247,31325
scale_n100000_r2,avl,RANK,500,11907.6,4400,8700,0.0059538,13427,16,34247,31325
scale_n100000_r2,avl,SELECT,500,7510.8,6600,23500,0.0037554,13427,16,34247,31325
scale_n100000_r2,avl,RANGE,500,10431.8,11000,21100,0.0052159,13427,16,34247,31325
scale_n100000_r2,avl,ALL,201500,33647.642679900746,27100,125400,6.78,13427,16,34247,31325
scale_n100000_r2,bst,I,70269,8641.084973459136,5200,13600,0.6072004,13427,26,0,0
